Category,Metric,Value,Emotion,Extra
Overall,exact_match_ratio,0.43103448275862066,,
Overall,hamming_loss,0.1793103448275862,,
Overall,jaccard_score_macro,0.5491883116883117,,
Overall,jaccard_score_micro,0.5702479338842975,,
Macro,precision_macro,0.6500271516222519,,
Macro,recall_macro,0.7735599078341014,,
Macro,f1_macro,0.704458862229686,,
Micro,precision_micro,0.6764705882352942,,
Micro,recall_micro,0.7840909090909091,,
Micro,f1_micro,0.7263157894736842,,
Weighted,precision_weighted,0.6836323368473557,,
Weighted,recall_weighted,0.7840909090909091,,
Weighted,f1_weighted,0.7290484605813158,,
Per-Label,precision,0.5652173913043478,anger,
Per-Label,recall,0.8125,anger,
Per-Label,f1,0.6666666666666666,anger,
Per-Label,support,16.0,anger,
Per-Label,precision,0.7941176470588235,fear,
Per-Label,recall,0.8571428571428571,fear,
Per-Label,f1,0.8244274809160306,fear,
Per-Label,support,63.0,fear,
Per-Label,precision,0.5384615384615384,joy,
Per-Label,recall,0.6774193548387096,joy,
Per-Label,f1,0.6,joy,
Per-Label,support,31.0,joy,
Per-Label,precision,0.6578947368421053,sadness,
Per-Label,recall,0.7142857142857143,sadness,
Per-Label,f1,0.684931506849315,sadness,
Per-Label,support,35.0,sadness,
Per-Label,precision,0.6944444444444444,surprise,
Per-Label,recall,0.8064516129032258,surprise,
Per-Label,f1,0.746268656716418,surprise,
Per-Label,support,31.0,surprise,
