python train.py                                                                                                               ✔  6s   torch  
Map: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1368/1368 [00:00<00:00, 4806.15 examples/s]
✅ Starting training...
  0%|                                                                                                                                                                              | 0/10260 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
{'loss': 9.3368, 'grad_norm': 27.667043685913086, 'learning_rate': 2.3391812865497075e-06, 'epoch': 0.15}                                                                                                    
{'loss': 8.4438, 'grad_norm': 37.21125793457031, 'learning_rate': 4.775828460038986e-06, 'epoch': 0.29}                                                                                                      
{'loss': 5.2391, 'grad_norm': 46.306636810302734, 'learning_rate': 7.212475633528265e-06, 'epoch': 0.44}                                                                                                     
{'loss': 0.7782, 'grad_norm': 0.4080152213573456, 'learning_rate': 9.649122807017545e-06, 'epoch': 0.58}                                                                                                     
{'loss': 0.3695, 'grad_norm': 0.539405107498169, 'learning_rate': 1.2085769980506823e-05, 'epoch': 0.73}                                                                                                     
{'loss': 0.2514, 'grad_norm': 0.3436237871646881, 'learning_rate': 1.45224171539961e-05, 'epoch': 0.88}                                                                                                      
{'loss': 0.1641, 'grad_norm': 0.2534845173358917, 'learning_rate': 1.695906432748538e-05, 'epoch': 1.02}                                                                                                     
{'loss': 0.1465, 'grad_norm': 0.2776274085044861, 'learning_rate': 1.939571150097466e-05, 'epoch': 1.17}                                                                                                     
{'loss': 0.1413, 'grad_norm': 0.3050963580608368, 'learning_rate': 2.1832358674463936e-05, 'epoch': 1.32}                                                                                                    
{'loss': 0.1497, 'grad_norm': 0.2865789532661438, 'learning_rate': 2.4269005847953216e-05, 'epoch': 1.46}                                                                                                    
{'loss': 0.1549, 'grad_norm': 0.2526688575744629, 'learning_rate': 2.6705653021442496e-05, 'epoch': 1.61}                                                                                                    
{'loss': 0.15, 'grad_norm': 0.18535707890987396, 'learning_rate': 2.9142300194931775e-05, 'epoch': 1.75}                                                                                                     
